Partlist

Exported from 32BVer0.sch at 28/06/2021 13:55:23

EAGLE Version 5.11.0 Copyright (c) 1988-2010 CadSoft

Part         Value            Device            Package        Library         Sheet

-----------------------------------------------------------------------------------------> 2

D3           SMBJ15CATR       SMBJ15CATR        DO214AA        LibraryMagnet   3
D4           SMBJ15CATR       SMBJ15CATR        DO214AA        LibraryMagnet   3
D5           SMBJ15CATR       SMBJ15CATR        DO214AA        LibraryMagnet   3
D6           SMBJ15CATR       SMBJ15CATR        DO214AA        LibraryMagnet   3
-----------------------------------------------------------------------------------------> 4

IC1          MAX337EAI+       MAX337EAI+        SSOP28         LibraryMagnet   1

IC2          DG419DY+         DG419DY+          SO08           LibraryMagnet   1
IC3          DG419DY+         DG419DY+          SO08           LibraryMagnet   1

IC4          ADUM1400         ADUM1400          SO16W          LibraryMagnet   1

IC5          AD7177-2         AD7177-2BRUZ      TSSOP24        LibraryMagnet   2

IC6          ADR4525          ADR4525CRZ-R7     SO08           LibraryMagnet   2

IC7          ADUM1401         ADUM1401          SO16W          LibraryMagnet   2

IC8          REG102NA-2.5/250 REG102-2V5        SOT23-5        LibraryMagnet   2
IC15         REG102NA-2.5/250 REG102-2V5        SOT23-5        LibraryMagnet   1

IC9          TPS72325DBVT     TPS72325DBVT      SOT23-5        LibraryMagnet   2

IC10         TPS73433DDCT     TPS73433DDCT      SOT23-5        LibraryMagnet   2
IC11         TPS73433DDCT     TPS73433DDCT      SOT23-5        LibraryMagnet   2
IC12         TPS73433DDCT     TPS73433DDCT      SOT23-5        LibraryMagnet   3
-----------------------------------------------------------------------------------------> 3

IC13         NC7SZ32M5X       NC7SZ32M5X        SOT23-5        LibraryMagnet   3

IC16         MAX3232          MAX3232IDR        SO16           LibraryMagnet   3

LED1         1206SMD          LEDCHIPLED_1206   CHIPLED_1206   led             3
LED2         1206SMD          LEDCHIPLED_1206   CHIPLED_1206   led             3

F1           NFE31PT152Z1E9L  NFE31PT152Z1E9L   KNF21          LibraryMagnet   2
F2           NFE31PT152Z1E9L  NFE31PT152Z1E9L   KNF21          LibraryMagnet   2
F3           NFE31PT152Z1E9L  NFE31PT152Z1E9L   KNF21          LibraryMagnet   2
F4           NFE31PT152Z1E9L  NFE31PT152Z1E9L   KNF21          LibraryMagnet   2
F5           NFE31PT152Z1E9L  NFE31PT152Z1E9L   KNF21          LibraryMagnet   2
F6           NFE31PT152Z1E9L  NFE31PT152Z1E9L   KNF21          LibraryMagnet   1
-----------------------------------------------------------------------------------------> 6

XTAL           16MHz            CRYSTALSM49       SM49           crystal         2

GPS                           MOLEX_FLEX8       MOLEX_FLEX8PIN magnetometro    3

GAP1         CG75L            CG75L             GAP            magnetometro    3
