Partlist

Exported from 32BVer0.brd at 29/06/2021 13:30:07

EAGLE Version 5.11.0 Copyright (c) 1988-2010 CadSoft

Part         Value            Package        Library         Position (mil)        Orientation

IC9          TPS72325DBVT     SOT23-5        LibraryMagnet   (1676.48 1541)        MR0
IC10         TPS73433DDCT     SOT23-5        LibraryMagnet   (2568.48 2817)        MR270
IC11         TPS73433DDCT     SOT23-5        LibraryMagnet   (971.48 1887)         MR0
IC12         TPS73433DDCT     SOT23-5        LibraryMagnet   (4399.48 1300)        R180
IC13         NC7SZ32M5X       SOT23-5        LibraryMagnet   (4403.48 654)         R90
IC14         NTA0505MC        DCDC           Ricardo_Library (1146 3785.98)        R270
IC15         REG102NA-2.5/250 SOT23-5        LibraryMagnet   (971.48 2497)         MR0
IC16         MAX3232          SO16           LibraryMagnet   (4031.48 2552)        R0
LED1         1206SMD          CHIPLED_1206   led             (2607.575 185.78)     R180
LED2         1206SMD          CHIPLED_1206   led             (2456.945 186.22)     R180
LOG                           1X02           pinhead         (2157.48 250)         R0
MOD1         RASPBERRY-PI     FE20-2         LibraryMagnet   (3296.48 4051)        R0
R1           10K              R0603          rcl             (972.48 1710)         R0
R2           1M               R0603          rcl             (862.48 1770)         R0
R3           10K              R0603          rcl             (972.48 2030)         R0
R4           1M               R0603          rcl             (862.48 2090)         R0
R5           10K              R0603          rcl             (972.48 2350)         R0
R6           1M               R0603          rcl             (862.48 2410)         R0
R7           10K              R0603          rcl             (972.48 2670)         R0
R8           1M               R0603          rcl             (862.48 2730)         R0
R9           10K              R0603          rcl             (972.48 1630)         R0
R10          1M               R0603          rcl             (862.48 1570)         R0
R11          10K              R0603          rcl             (972.48 1950)         R0
R12          1M               R0603          rcl             (862.48 1890)         R0
R13          10K              R0603          rcl             (972.48 2270)         R0
R14          1M               R0603          rcl             (862.48 2210)         R0
R15          10K              R0603          rcl             (972.48 2590)         R0
R16          1M               R0603          rcl             (862.48 2530)         R0
R17          300              R0603          rcl             (1889.48 2106)        R180
R18          300              R0603          rcl             (1888.48 2039)        R180
R19          300              R0603          rcl             (1888.48 1972)        R180
R20          300              R0603          rcl             (1888.48 2175)        R180
R21          300              R0603          rcl             (2614.48 1805)        MR0
R22          300              R0603          rcl             (2351.48 1602)        MR270
