Partlist

Exported from Digitizer10Bits.brd at 2021-03-26 2:33:27 PM

EAGLE Version 5.11.0 Copyright (c) 1988-2010 CadSoft

Part          Value            Package        Library         Position (mil)        Orientation

R2            1M               R0603          rcl             (4536 1991)           MR0
R4            1M               R0603          rcl             (4536 2208)           MR0
R6            1M               R0603          rcl             (4536 1591)           MR0
R8            1M               R0603          rcl             (4536 1824)           MR0
R10           1M               R0603          rcl             (4536 1217)           MR0
R12           1M               R0603          rcl             (4536 1443)           MR0
R14           1M               R0603          rcl             (4536 860)            MR0
R16           1M               R0603          rcl             (4536 1073)           MR0
------------------------------------------------------------------------------------------------------>8*


D1            SMLVT3V3         SMLVT3V3       magnetometro    (1957.89 1025.26)     MR0
D2            SMLVT3V3         SMLVT3V3       magnetometro    (1217.89 1025.26)     MR180*

D3            SMBJ15CA         DIODE_KK2      magnetometro    (1955.11 1497.74)     MR180
D4            SMBJ15CA         DIODE_KK2      magnetometro    (1216.89 1497.26)     MR180*

D5            DB2X20700L       DIODE_PW       magnetometro    (4355 3570)           MR180*

F1                             NFE-2706       magnetometro    (3823 2998)           MR270
F2                             NFE-2706       magnetometro    (3618 2998)           MR270
F3                             NFE-2706       magnetometro    (4693 2932)           MR180*

GAP1          CG75L            GAP            magnetometro    (1960.11 1666.74)     R180
GAP2          CG75L            GAP            magnetometro    (1217.89 1665.26)     R180
GAP3          CG75L            GAP            magnetometro    (1217.89 1165.26)     R180
GAP4          CG75L            GAP            magnetometro    (1957.89 1165.26)     R0*


IC1           MAX337           SSOP28         Ricardo_Library (3500 1335)           MR270*

IC2           NMA0515DC        NMA1512DC      magnetometro    (3236 3684)           MR180*

IC3           LT1121-5         SO08           Ricardo_Library (4286 2799)           MR0*

IC4           LT1121-3.3       SO08           Ricardo_Library (4752 3006)           R270-----> No va
IC5           LT1121-3.3       SO08           Ricardo_Library (1512.89 860.26)      R180*

IC6           ADS7825          SOIC-28        magnetometro    (2795 1750)           MR270*

IC7           ADUM1401         SO-16W         Ricardo_Library (2769 1762)           R180
IC8           ADUM1401         SO-16W         Ricardo_Library (3261 826)            R270*

IC9           PIC16F876A       SO28W          Ricardo_Library (1551 2406)           R270

IC10          NC7SZ32          SOT-23-5       magnetometro    (1300 3044)           R90
IC13          NC7SZ32          SOT-23-5       magnetometro    (2043.26 743.11)      R90

IC11          MAX3232          SOIC16N        Ricardo_Library (782 2585)            R180

IC12          FT232RL          SSOP28         ftdichip        (590.89 1604.48)      R180

IC14          M74VHC1GT86DFT1G SOT-353        magnetometro    (2972 1003)           MR180

IC15          OP07CR           SO08           linear          (3501 1849)           MR270

XTAL          7.3728           CRYSTAL_SMD    Ricardo_Library (1682.5 2282)         MR90


SERIAL                         ML10           con-harting-ml  (260 2456)            R90


VINPUT                         W237-102       con-wago-500    (4610 3557)           R0

CHANNEL_INPUT                  F25HP          con-subd        (5295 1879.449)       R270

PROG                           HEADER_SMD_6   Ricardo_Library (1930 3493)           R270
RST                            HEADER_SMD_2   Ricardo_Library (1129 3597)           R270


SHIELD1                        SHIELD_38X50   magnetometro    (3905 590)            MR0

GPS                            MOLEX_FLEX8PIN magnetometro    (1767.89 205.26)      MR180

USB                            1X04           pinhead         (577 963)             R180
LED_GPS                        1X02           pinhead         (2607.984 162.465)    R180
